0,-3,-52
1,1,-14
2,0,-24
3,12,28
4,2,-2
5,2,16
6,2,60
7,82,63
8,3,89
9,4,105
10,7,177
11,-3,-58
12,-3,-62
13,-4,-63
14,-4,-67
15,-4,-72
16,-5,-79
17,-5,-86
18,-5,-96
19,0,-19
20,10,-18
21,122,116
22,48,54
23,59,52
24,70,52
25,85,59
26,39,58
27,67,82
28,55,83
29,78,80
30,85,76
31,93,51
32,34,-116
33,86,66
34,124,61
35,106,59
36,54,0
37,10,-51
38,7,-63
39,23,-56
40,30,-61
41,16,-64
42,23,-66
43,43,-78
44,10,-14
45,12,-2
46,101,85
47,34,33
48,34,-9
49,35,-2
50,87,1
51,12,14
52,76,96
53,91,93
54,113,137
55,27,88
56,44,80
57,51,-68
58,105,-51
59,25,-16
60,16,-19
61,38,-69
62,33,-68
63,97,101
64,33,-14
65,55,95
66,58,106
67,72,166
68,105,120
69,64,137
70,108,92
71,115,104
72,9,-58
73,19,-61
74,27,-64
75,22,-18
76,35,-69
77,31,-71
78,31,-67
79,21,-13
80,20,-65
81,14,-64
82,5,-64
83,8,-96
84,8,-86
85,7,-79
86,7,-72
87,6,-68
88,21,-68
89,23,-70
90,26,-73
91,28,-77
92,41,-47
93,119,10
94,0,-21
95,26,-68
96,28,-69
97,13,-24
98,29,-21
99,14,-22
100,44,26
101,62,16
102,36,-7
103,98,154
104,89,131
105,80,106
106,33,-86
107,31,104
108,37,140
109,43,174
110,80,54
111,104,42
112,34,61
113,96,72
114,27,41
115,29,-6
116,115,34
117,96,32
118,82,27
119,60,31
120,45,37
121,35,43
122,13,56
123,112,7
124,105,74
125,6,-19
126,32,20
127,125,66
128,27,49
129,36,-7
130,90,65
131,29,3
132,114,-20
133,34,66
134,21,10
135,82,-87
136,80,-98
137,121,8
138,96,-69
139,120,85
140,37,-128
141,4,-21
142,41,10
143,115,57
144,70,59
145,60,59
146,34,-73
147,108,-18
148,16,-144
149,49,-127
150,64,-115
151,6,142
152,-7,-146
153,50,61
154,42,64
155,37,65
156,112,78
157,45,74
158,55,76
159,65,76
160,75,74
161,81,70
162,126,94
163,77,61
164,-1,-32
165,33,-39
166,26,-14
167,13,-35
168,3,76
169,67,-103
170,52,-116
171,17,-137
172,93,-78
173,38,69
174,20,35
175,-7,-138
176,34,-137
177,116,-20
178,14,-68
179,16,-71
180,18,-76
181,19,-83
182,22,-92
183,29,-67
184,32,-67
185,36,-65
186,48,-57
187,93,-26
188,20,49
189,26,73
190,33,72
191,26,-65
192,92,-54
193,17,73
194,28,-103
195,2,31
196,12,41
197,2,45
198,26,15
199,-6,-125
200,-6,-110
201,11,-109
202,54,-83
203,45,-17
204,42,-95
205,70,-16
206,54,-30
207,78,-36
208,15,-124
209,32,9
210,64,-91
211,49,-104
212,64,-69
213,103,-38
214,78,-69
215,108,-45
216,61,-47
217,26,28
218,25,-12
219,30,-14
220,21,-4
221,35,82
222,54,86
223,70,87
224,83,85
225,92,80
226,96,62
227,124,34
228,87,45
229,75,42
230,60,43
231,46,47
232,36,51
233,29,55
234,122,39
235,29,-16
236,20,23
237,18,-13
238,11,-17
239,17,-14
240,26,-19
241,9,-19
242,8,-20
243,30,65
244,24,62
245,21,59
246,84,68
247,90,72
248,-8,30
249,-84,77
250,-10,-17
251,-125,135
252,-49,63
253,-61,63
254,-72,64
255,-88,73
256,-40,65
257,-65,95
258,-52,92
259,-77,94
260,-85,91
261,-97,66
262,-47,-110
263,-89,81
264,-131,80
265,-110,76
266,-58,9
267,-16,-48
268,-15,-60
269,-30,-50
270,-39,-54
271,-24,-60
272,-32,-60
273,-53,-70
274,-8,-13
275,-9,-1
276,-102,104
277,-34,38
278,-35,-3
279,-35,4
280,-93,15
281,-8,16
282,-73,110
283,-90,110
284,-112,155
285,-21,93
286,-41,87
287,-61,-58
288,-121,-36
289,-27,-11
290,-18,-16
291,-48,-60
292,-42,-60
293,-96,119
294,-35,-8
295,-50,106
296,-52,117
297,-63,178
298,-104,138
299,-56,148
300,-109,111
301,-117,122
302,-16,-56
303,-27,-56
304,-35,-57
305,-24,-13
306,-45,-60
307,-41,-63
308,-42,-59
309,-21,-9
310,-30,-59
311,-22,-60
312,-13,-62
313,-20,-94
314,-18,-83
315,-17,-76
316,-16,-70
317,-15,-66
318,-31,-62
319,-33,-64
320,-36,-67
321,-38,-71
322,-49,-39
323,-133,29
324,-36,-61
325,-38,-62
326,-14,-22
327,-32,-15
328,-16,-19
329,-46,33
330,-65,26
331,-37,-1
332,-93,169
333,-84,147
334,-76,122
335,-45,-79
336,-24,110
337,-27,146
338,-31,180
339,-83,67
340,-109,58
341,-34,67
342,-98,89
343,-26,45
344,-28,-1
345,-122,52
346,-101,47
347,-86,40
348,-63,40
349,-47,44
350,-35,49
351,-9,58
352,-120,25
353,-107,92
354,-5,-18
355,-33,25
356,-135,84
357,-26,54
358,-39,0
359,-93,81
360,-28,8
361,-129,-3
362,-35,72
363,-19,13
364,-96,-75
365,-97,-86
366,-132,26
367,-110,-55
368,-125,103
369,-51,-123
370,-4,-20
371,-43,17
372,-120,76
373,-72,71
374,-61,70
375,-44,-65
376,-118,0
377,-31,-142
378,-66,-120
379,-80,-106
380,-51,70
381,-43,71
382,-37,71
383,-115,96
384,-44,81
385,-54,86
386,-64,88
387,-75,87
388,-82,84
389,-132,113
390,-79,74
391,-38,-33
392,-27,-9
393,-17,-32
394,-81,-93
395,-67,-108
396,-31,-134
397,-110,-64
398,-38,76
399,-18,38
400,-50,-132
401,-128,-2
402,-24,-64
403,-25,-67
404,-27,-72
405,-29,-78
406,-34,-87
407,-38,-60
408,-41,-59
409,-45,-57
410,-57,-48
411,-102,-11
412,-18,52
413,-24,78
414,-32,78
415,-36,-59
416,-104,-39
417,-13,75
418,-41,-98
419,-9,43
420,-26,20
421,-24,-107
422,-66,-73
423,-49,-9
424,-55,-87
425,-77,-4
426,-61,-21
427,-87,-23
428,-28,-121
429,-33,14
430,-77,-81
431,-62,-96
432,-74,-57
433,-115,-22
434,-89,-56
435,-122,-28
436,-70,-36
437,-25,32
438,-24,-7
439,-32,-8
440,-19,0
441,-32,88
442,-51,96
443,-68,100
444,-82,100
445,-93,96
446,-100,78
447,-133,53
448,-91,59
449,-78,54
450,-62,53
451,-48,54
452,-37,57
453,-30,60
454,-134,57
455,-31,-11
456,-17,26
457,-16,-9
458,-11,-15
459,-17,-11
460,-28,-14
461,-9,-17
462,-8,-19
463,-30,70
464,-23,66
465,-19,62
466,-86,82
467,-92,87
